county_code,cate,fiscal_autonomy_pre,secondary_ratio_pre
141032,0.0087253207678996,0.035897695,8.7596626
513230,0.0077424268161873,0.024409683,13.644848
513231,0.01269692781117,0.026881423,12.963249
513232,-0.0029196091775413,0.033174414,17.308571
513233,-0.0079924198662683,0.029588608,17.290539
513327,0.0106605892893347,0.023911366,12.723311
513328,0.014447277947123,0.028665192,11.152782
513329,0.0065544521914176,0.012438198,12.113226
513330,0.0090577966025942,0.023721201,14.473473
513332,0.0187194297374916,0.017865632,7.9713826
513333,0.0011260891657896,0.021436568,16.402544
513334,0.0004954180788216,0.027188567,16.606358
513337,-0.0119949311725659,0.039581779,17.562241
513430,-0.0056323244686244,0.042200569,14.454961
513431,-0.0005537451917398,0.048472799,10.567336
610828,0.0029704000614655,0.033554535,7.1373272
620822,-0.0141010164730089,0.048726261,16.85465
621121,0.0072704005431895,0.033940207,9.4088907
621123,0.0104536117149848,0.036917608,8.9516869
621125,0.0085268826490707,0.042560544,10.923155
621228,0.0058563315472259,0.025713647,13.759649
622922,-0.0038013352957486,0.038564544,16.374569
622927,-0.0100962040817907,0.045177869,17.108263
623021,-0.0017723643238601,0.034283165,15.810937
623023,-0.0009113279803421,0.019516323,16.764139
632323,0.0073500001369871,0.018000409,5.4428945
632622,0.0089758637211848,0.045901481,10.36513
632623,0.0106923197366274,0.023114283,12.934226
632624,0.0164290036223092,0.027889522,7.7141814
632625,0.015084846737248,0.02181438,9.0605278
632626,0.0163222111539467,0.017818416,6.3962088
632722,0.0028540666701538,0.026588874,6.3235092
632724,0.0048576756397231,0.018135242,10.317241
632725,0.0151852304289709,0.014418053,10.163413
632726,-0.0053685477315366,0.029491888,13.314122
